timestamp,aruco_id
1728419824.7066257,[0]
1728419824.723398,[0]
1728419824.7391317,[0]
1728419824.7553868,[0]
1728419824.7701325,[0]
1728419827.137112,[37]
1728419827.407531,[5]
1728419827.4273007,[5]
1728419827.4446177,[5]
1728419827.4613972,[5]
1728419827.481201,[5]
1728419827.499553,[5]
1728419827.5188134,[5]
1728419827.5355945,[5]
1728419827.5523455,[5]
1728419827.5716836,[5]
1728419827.5925095,[5]
1728419827.6112967,[5]
1728419827.6321964,[5]
1728419827.6550717,[5]
1728419827.677512,[5]
1728419827.6982865,[5]
1728419827.7155857,[5]
1728419827.7333465,[5]
1728419827.7516718,[5]
1728419827.7695558,[5]
1728419827.790375,[5]
1728419827.8086734,[5]
1728419827.8305523,[5]
1728419827.8503578,[5]
1728419827.8712158,[5]
1728419827.8905568,[5]
1728419827.9078722,[5]
1728419827.9271436,[5]
1728419827.9464483,[5]
1728419827.9632301,[5]
1728419827.9815705,[5]
1728419827.9983149,[5]
1728419828.0120437,[5]
1728419828.0303926,[5]
1728419828.044647,[4 5]
1728419828.0614045,[4 5]
1728419828.0766385,[4 5]
1728419828.0918863,[4 5]
1728419828.1081128,[17  5]
1728419828.1254725,[17 11  5]
1728419828.1432672,[17 11  5]
1728419828.1584466,[17 11  5]
1728419828.1757061,[17  5]
1728419828.192506,[17  5]
1728419828.2124119,[11 17  5]
1728419828.231217,[11 17  5]
1728419828.2495651,[10 11 17  5]
1728419828.2693787,[10 11 17  5]
1728419828.2871668,[10 11 17  5]
1728419828.3044946,[10 11 17  5]
1728419828.3259735,[10 11  5]
1728419828.3482897,[10 11  5]
1728419828.3691227,[10  5]
1728419828.3905103,[10  5]
1728419828.4133642,[10 11 17  5 23]
1728419828.4342246,[10 11 17  5 23 37]
1728419828.4570978,[10  4 17 23  5]
1728419828.4795136,[10  4 17 23  5]
1728419828.5002956,[10  4 11 17  5 23]
1728419828.5191107,[10  4 11 17 23  5]
1728419828.5374138,[10  4 11 17 23  5]
1728419828.55366,[10  4 11 17 23  5]
1728419828.5724876,[10  4 11 17 23  5]
1728419828.5902393,[10  4 11 17 23  5]
1728419828.6105976,[10  4 11 17 23  5]
1728419828.6314044,[10  4 11 17 23  5]
1728419828.6522803,[10  4 11 17 23  5]
1728419828.671599,[10  4 11 17 23  5]
1728419828.6904206,[10  4 11 17 23  5]
1728419828.710351,[10  4 17 11 23  5]
1728419828.730688,[10  4 17 11 23  5]
1728419828.7535145,[10  4 11 17 23  5]
1728419828.774369,[10  4 11 17 23  5]
1728419828.7952049,[10  4 11 17 23  5]
1728419828.8170218,[10  4 11 17 29  5 23]
1728419828.836882,[10  4 11 17  5 29 23]
1728419828.854719,[10  4  3 17 11 23  5]
1728419828.8734856,[10  4 17 11 23  5]
1728419828.891776,[ 3 10  4 11 17 23  5]
1728419828.9095347,[ 3 10  4 11 17 23  5]
1728419828.9273608,[ 3 10  4 11 17  5 29 23]
1728419828.9456582,[ 3 10  4 11 17  5 29 23]
1728419828.967502,[ 3 10  4 11 17  5 23 29]
1728419828.9893398,[ 3 10  4 11 17  5 23 29]
1728419829.011637,[ 3 10  4 11 17 23 29  5]
1728419829.0335033,[ 3 10  4 11 17 23 29  5]
1728419829.0533035,[ 3 10  4 11 17 23  5]
1728419829.0726128,[ 3 10  4 11 17 23  5]
1728419829.0924487,[ 3 10  4 11 17 23  5]
1728419829.1117458,[ 3 16 10  4 11 23  5]
1728419829.1285062,[ 3 10  4 11 17 23 29  5]
1728419829.145271,[ 3 10  4 11 17 23 29  5]
1728419829.1635883,[ 3 10  4 17  5]
1728419829.1793525,[ 3 10  4  5 17]
1728419829.194067,[10  4  5]
1728419829.212508,[10  4  5]
1728419829.2312598,[10  4 11 17  5]
1728419829.248573,[10  4 17 11  5]
1728419829.2684727,[ 4 17 11  5]
1728419829.2892742,[ 4 11 17  5]
1728419829.3100364,[ 4 11 17  5]
1728419829.3324997,[ 4 11 17  5]
1728419829.353309,[ 4 11 17  5]
1728419829.3716278,[ 4 11 17  5]
1728419829.392451,[ 4 11 17  5]
1728419829.4102528,[ 4 11 17  5]
1728419829.428552,[ 4 11 17  5]
1728419829.4468124,[ 4 11 17  5]
1728419829.4646142,[ 4 11 17  5]
1728419829.4823637,[ 4 11 17  5]
1728419829.501173,[ 4 11  5]
1728419829.5183876,[ 4 11  5]
1728419829.535629,[ 4 11  5]
1728419829.5523856,[ 4 11  5]
1728419829.5721939,[ 4 11  5]
1728419829.5905561,[ 4 11  5]
1728419829.6124218,[11  5]
1728419829.6343095,[11  5]
1728419829.6571348,[11  5]
1728419829.6794763,[11  5]
1728419829.7043207,[11  5]
1728419829.730174,[11  5]
1728419829.7504926,[11  5]
1728419829.771309,[11  5]
1728419829.790209,[11  5]
1728419829.8089933,[11  5]
1728419829.8252616,[11  5]
1728419829.8415432,[11  5]
1728419829.857286,[11  5]
1728419829.8755786,[11  5]
1728419829.8917866,[5]
1728419829.9111133,[5]
1728419829.9273524,[5]
1728419829.9436185,[5]
1728419829.9604137,[5]
1728419829.9771948,[5]
1728419829.9929268,[5]
1728419830.0107093,[5]
1728419830.0274541,[5]
1728419830.0452507,[5]
1728419830.0637405,[5]
1728419830.0835602,[5]
1728419830.1063976,[5]
1728419830.126868,[5]
1728419830.148734,[5]
1728419830.1736562,[5]
1728419830.1934514,[5]
1728419830.2137668,[5]
1728419830.2336667,[5]
1728419830.2534695,[ 5 17]
1728419830.280481,[5]
1728419830.3012702,[5]
1728419830.3236878,[5]
1728419830.3455179,[5]
1728419830.3694427,[5]
1728419830.3953795,[5]
1728419830.4183,[5]
1728419830.442223,[5]
1728419830.4691937,[5]
1728419830.49509,[ 5 74]
1728419830.5169654,[5]
1728419830.5383248,[5]
1728419830.5652156,[5]
1728419830.5901258,[5]
1728419830.6145132,[5]
1728419830.6384597,[5]
1728419830.6612847,[5]
1728419830.6887884,[5]
1728419830.717247,[5]
1728419830.741659,[5]
1728419830.7645087,[5]
1728419830.7925138,[5]
1728419830.8159535,[5]
1728419830.8392677,[5]
1728419830.8616312,[5]
1728419830.882951,[5]
1728419830.9047616,[5]
1728419830.927614,[5]
1728419830.9494689,[5]
1728419830.9744167,[5]
1728419830.9982197,[5]
1728419831.020213,[5]
1728419831.0415804,[5]
1728419831.0674675,[ 5 86 17]
1728419831.094353,[5]
1728419831.1167371,[5]
1728419831.1395938,[5]
1728419831.1634674,[5]
1728419831.1853786,[5]
1728419831.2107322,[5]
1728419831.23367,[5]
1728419831.254452,[5]
1728419831.2742407,[5]
1728419831.2950528,[5]
1728419831.3173573,[ 5 17]
1728419831.340278,[5]
1728419831.3626482,[5]
1728419831.3885424,[5]
1728419831.4174695,[5]
1728419831.4443357,[5]
1728419831.4672313,[5]
1728419831.4910305,[5]
1728419831.5153902,[5]
1728419831.5392356,[5]
1728419831.5672624,[5]
1728419831.5972154,[5]
1728419831.62267,[5]
1728419831.6475437,[5]
1728419831.6684759,[5]
1728419831.6917915,[5]
1728419831.714593,[5]
1728419831.7353992,[5]
1728419831.7583,[5]
1728419831.7796211,[5]
1728419831.7995138,[5]
1728419831.8233802,[5]
1728419831.8452215,[5]
1728419831.8681483,[5]
1728419831.890553,[5]
1728419831.9139385,[5]
1728419831.9362564,[5]
1728419831.9586253,[5]
1728419831.981464,[5]
1728419832.0012174,[5]
1728419832.0195239,[5]
1728419832.0393176,[5]
1728419832.0596445,[ 5 17]
1728419832.0785,[ 5 17]
1728419832.0993004,[5]
1728419832.118602,[5]
1728419832.139391,[5]
1728419832.1622677,[5]
1728419832.183606,[5]
1728419832.2038805,[5]
1728419832.225716,[5]
1728419832.2496378,[5]
1728419832.2715383,[ 5 37]
1728419832.2933977,[5]
1728419832.3152974,[5]
1728419832.3346395,[5]
1728419832.359609,[5]
1728419832.3829486,[5]
1728419832.4057639,[5]
1728419832.4306347,[5]
1728419832.4565392,[5]
1728419832.4794059,[5]
1728419832.5042408,[5]
1728419832.5281026,[5]
1728419832.5524724,[5]
1728419832.5809326,[5]
1728419832.6083894,[5]
1728419832.6312337,[5]
1728419832.655612,[5]
1728419832.6784644,[5]
1728419832.700308,[5]
1728419832.722668,[5]
1728419832.747581,[5]
1728419832.7694428,[5]
1728419832.7903383,[5]
1728419832.8172107,[5]
1728419832.8416524,[11  5 17]
1728419832.864487,[11  5]
1728419832.885883,[11  5]
1728419832.9091597,[11  5]
1728419832.9355261,[11  5]
1728419832.9614837,[11  5]
1728419832.9859464,[11  5]
1728419833.0093246,[11  5]
1728419833.0316284,[5]
1728419833.0544832,[5]
1728419833.07735,[5]
1728419833.1007464,[5]
1728419833.1245303,[11  5]
1728419833.147437,[11  5]
1728419833.1682699,[11  5]
1728419833.1926587,[11  5]
1728419833.2184508,[11  5]
1728419833.242381,[11  5]
1728419833.2672992,[11  5]
1728419833.292679,[11  5]
1728419833.3204732,[11  5]
1728419833.3459306,[11  5]
1728419833.3703048,[11  5]
1728419833.395725,[11  5]
1728419833.4215996,[11  5]
1728419833.4475071,[11  5]
1728419833.476078,[11  5]
1728419833.5024965,[11  5]
1728419833.52535,[11  5]
1728419833.5472627,[11  5]
1728419833.5746994,[11  5]
1728419833.5981033,[11  5]
1728419833.6226387,[5]
1728419833.6485727,[5]
1728419833.6780922,[5]
1728419833.7050278,[5]
1728419833.7314622,[5]
1728419833.7568378,[5]
1728419833.7822635,[5]
1728419833.8036437,[5]
1728419833.8269906,[ 5 37]
1728419833.849347,[ 5 37]
1728419833.8741865,[5]
1728419833.9001496,[5]
1728419833.926485,[5]
1728419833.9494643,[5]
1728419833.9692664,[5]
1728419833.9916291,[5]
1728419834.014942,[5]
1728419834.0413659,[5]
1728419834.061165,[5]
1728419834.083773,[5]
1728419834.1046078,[5]
1728419834.123396,[5]
1728419834.1421742,[5]
1728419834.1635623,[5]
1728419834.1823835,[5]
1728419834.20216,[5]
1728419834.2204893,[5]
1728419834.2392707,[5]
1728419834.2582066,[5]
1728419834.2759893,[5]
1728419834.2953298,[5]
1728419834.3147347,[5]
1728419834.3375447,[5]
1728419834.3583646,[5]
1728419834.378183,[5]
1728419834.4005373,[5]
1728419834.4203498,[5]
1728419834.4391441,[5]
1728419834.462505,[5]
1728419834.4848955,[5]
1728419834.503658,[5]
1728419834.5243995,[5]
1728419834.5462675,[5]
1728419834.5696266,[5]
1728419834.5924501,[5]
1728419834.6158106,[5]
1728419834.6371315,[5]
1728419834.6624732,[5]
1728419834.6858091,[5]
1728419834.712156,[5]
1728419834.7324088,[5]
1728419834.759302,[5]
1728419834.7831006,[5]
1728419834.8060057,[5]
1728419834.8303258,[5]
1728419834.8544354,[5]
1728419834.8772593,[5]
1728419834.901616,[5]
1728419834.9253957,[5]
1728419834.951289,[5]
1728419834.976234,[5]
1728419835.0026355,[5]
1728419835.0269282,[5]
1728419835.0493684,[5]
1728419835.0712087,[5]
1728419835.093055,[5]
1728419835.1139958,[5]
1728419835.133237,[5]
1728419835.1565874,[5]
1728419835.1804008,[5]
1728419835.201269,[5]
1728419835.2195635,[5]
1728419835.2383704,[5]
1728419835.2592516,[5]
1728419835.279756,[5]
1728419835.29955,[5]
1728419835.320364,[5]
1728419835.3452945,[5]
1728419835.3702037,[5]
1728419835.3946931,[5]
1728419835.414551,[5]
1728419835.4363925,[5]
1728419835.4602692,[5]
1728419835.48364,[5]
1728419835.5074356,[5]
1728419835.5293696,[5]
1728419835.5512168,[5]
1728419835.5731113,[5]
1728419835.5954254,[5]
1728419835.6192806,[5]
1728419835.6416328,[5]
1728419835.6635277,[5]
1728419835.6924546,[5]
1728419835.717227,[5]
1728419835.740682,[5]
1728419835.7635255,[5]
1728419835.7884667,[5]
1728419835.8122978,[5]
1728419835.833602,[5]
1728419835.853415,[5]
1728419835.8772204,[5]
1728419835.8995485,[5]
1728419835.919286,[5]
1728419835.938585,[5]
1728419835.9604332,[5]
1728419835.9792387,[5]
1728419835.9996002,[5]
1728419836.0203469,[5]
1728419836.0386193,[5]
1728419836.0584311,[5]
1728419836.0766969,[5]
1728419836.0934396,[5]
1728419836.1112843,[5]
1728419836.1305695,[5]
1728419836.1504097,[5]
1728419836.172248,[5]
1728419836.1915913,[5]
1728419836.2124212,[5]
1728419836.2336998,[5]
1728419836.255566,[5]
1728419836.274881,[5]
1728419836.2972598,[5]
1728419836.321588,[5]
1728419836.3455062,[5]
1728419836.3662367,[ 5 17]
1728419836.3900394,[5]
1728419836.4133623,[5]
1728419836.4347355,[5]
1728419836.4565802,[5]
1728419836.4805791,[5]
1728419836.5034392,[5]
1728419836.5221899,[5]
1728419836.5471017,[5]
1728419836.5730188,[5]
1728419836.5948753,[5]
1728419836.6193557,[5]
1728419836.6401703,[5]
1728419836.6645672,[5]
1728419836.6843288,[5]
1728419836.702626,[5]
1728419836.7224197,[5]
1728419836.744301,[5]
1728419836.7666109,[5]
1728419836.7870145,[5]
1728419836.8103693,[5]
1728419836.8337505,[5]
1728419836.8601422,[5]
1728419836.882488,[5]
1728419836.9053204,[5]
1728419836.929284,[5]
1728419836.9547055,[5]
1728419836.9785304,[5]
1728419837.0023806,[5]
1728419837.0323722,[5]
1728419837.0653791,[5]
1728419837.0944252,[5]
1728419837.1203043,[5]
1728419837.1437142,[5]
1728419837.167068,[5]
1728419837.1883988,[5]
1728419837.2132335,[5]
1728419837.234538,[5]
1728419837.2583644,[5]
1728419837.281326,[5]
1728419837.3026524,[5]
1728419837.3234942,[5]
1728419837.3433352,[5]
1728419837.366268,[5]
1728419837.3901458,[5]
1728419837.411489,[5]
1728419837.435312,[5]
1728419837.4581864,[5]
1728419837.4805784,[5]
1728419837.5074446,[5]
1728419837.5332818,[5]
1728419837.5591917,[5]
1728419837.58256,[5]
1728419837.607502,[5]
1728419837.6303332,[5]
1728419837.6557033,[5]
1728419837.678507,[5]
1728419837.7034605,[5]
1728419837.729415,[5]
1728419837.7522404,[5]
1728419837.7756627,[5]
1728419837.7984576,[5]
1728419837.824382,[5]
1728419837.8482308,[5]
1728419837.8695872,[ 5 24]
1728419837.8918757,[ 5 24]
1728419837.9147277,[5]
